tweet;correctLabel;predictedLabel
@__evaaaayoushouldlistento"ThatPole"byKirkoitgoesharderthanDrankInMyCup;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
@sanluispotoyeesummmnoooyoutakeParmerthen183southuntilyougettoTheH52D;lang1 lang1 lang1 lang2 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
@KennyVaccaro4WhateverhappenedtoBlakeGideon???You2werelikeBullDozersonthatUTFieldwhenyallplayedtogether!!!;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
@FordHmmmmighthavetosellmyold02F150forthisone(;It'sGorgeous!;lang1 lang1 lang1 lang1 other lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 ;other lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
OnceIcangetmyCHLIwanttogohunting!!!#LuceroTeApoyo#Texas#GunsUp#Deer#Ducks#Quail;lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang2 lang1 lang2 lang1 lang2 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
MyTLisunderDerailmentbythe#TXSTFollowTrain!#AwwDamn#HoldOn;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
@elizaaaabethhh_@CiinthiiaRmlolrightletskeepgoing;)hehejkjk;1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 other lang1 ;other lang1 lang1 lang1 other lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
@elizaaaabethhh_@CiinthiiaRmespeciallyatEmmaLongorNorthwestParkeveryweekend:D;lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
@elizaaaabethhh_Icann'thelpit!Itsfun!!!^.^lmao;1 other lang1 lang2 lang1 lang2 other lang2 lang1 lang2 lang1 lang1 lang2 lang1 lang1 lang1 lang1 ;other other lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
Yoentremenostengomasfelizmesiento:)serepobreperoasisoyfeliz!;lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
Mi38yanotequiero..PuroAK-47..yavete..tuvaspatrasydilequeterespete..;lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1  
@_shedopeeejajaporque:(;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
YACambioDeQuechikititaaaa????;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 other lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other  
sequesoyunashorasdemaselpasatiempoquetantotedivierte...;other lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
Sequeno..quenopodreborrartunombredemimenteaunqueyoloIntente..;lang1 lang2 lang1 lang1 lang2 lang1 lang2 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
Noseeevivirsinoescontigooo..SinTinoseniquiensoy...;lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
Medijistequeteivas..mastuslabiossonreian..perotusojoserantrozosdedolor...;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1  
yestaternuraquesientoportiespormirartedelejos..porquetunomepermitesunsegundodetutiempo...;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
Alguiensetomomivinoalguienseacostoenmicama..yhoymedejasesporcausadeestadecepsion...;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
Estasadjeridaamicomountatuajeee;lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1  
Nomeconformoconsertuamigosoyambiciosoytebendigo..;lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other other  
Ydicesqueelamor..igualquellegaapasar..igualsemarchoporlaventana..yqueencontrounlugarenotracama...;lang1 lang1 lang1 lang1 lang2 lang1 other lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1  
Mellamasparadecirmequetemarchas..queyanoaguantasmas..queyaestasarta...;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1  
Comopoderdecirtequesintivivotristeee..;lang1 lang1 lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 1 lang2 lang1 lang1 ;other other lang1 lang1 lang1 lang1 lang1 lang2 ne lang1 lang1 other lang1 other lang2 lang2  
Cuentametu..haspodidoolvidaraquellasnochesdeamorquecompartiamoslosdos?..;other lang1 lang2 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 ;other lang2 lang2 other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1  
@elizaaaabethhh_DeNada:);1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang2 lang1 lang2 lang2 lang2 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang2 lang2 lang2 other  
Porminoquedo...elproblemaesquetuNuncaaaColaborasteee!!!!...;lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang2 lang1 lang2 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ne lang1 lang1 lang2 lang1  
Conlanovedadqueelrogar,nuncaasidomifuerte...!;1 lang1 lang1 lang2 lang2 lang2 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang2 lang2 lang1 lang1 ;other lang1 lang2 lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang2 lang1  
Mevoyacolgarelgafettedesolteroysaldrealucirlooo;D;lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang2 other lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other other lang1 lang2 lang1 lang1 lang1 other  
Hayquerwconoserlonuestronosedio...FuimosTodoUnFracasooo;other lang1 lang1 lang2 lang2 other lang1 lang2 lang2 lang2 lang1 lang2 lang2 lang1 lang1 lang2 lang1 ;other lang1 lang1 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2  
GentePendejaaa...;other lang1 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 ;other lang1 lang2 other other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 ambiguous  
Quisieranuncaaverteconosido..nijamasaverprobadodetusbesos..quisieraavernacidoenotrosiglopanoaverteconosido..;lang2 lang2 lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang2 lang2 lang2 lang1 lang1 ;other lang2 lang2 lang2 lang1 lang1 lang1 lang1 other lang2 lang2 lang2 lang2 lang2 lang2 lang1  
Fuextuculpaxknovaloraste..fuextuculpaxksiemprepensastequeivaaestaratuspies...;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 ;other lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang2 ne lang1 lang1 lang1 lang1  
Tumatasteelamoryanosiguasllorando..queotrosbrazosmeestanesperando;D;lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 other lang2 lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1  
Ventumiamooor...venporfavoooooor.....;lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 other lang2 lang2 lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
YaestoycansadodelTequiero..delosmilTeAmo'squemeenviasporcarta..VenTuydimelocaraacaraqueporpapelnosientonada..;lang1 lang1 lang1 lang2 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 other lang2 lang1 lang1 other lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other  
Quetontos..quelocos..somostuyyo..estandoconotrosyahoraamandonos...;lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 other lang2 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other  
Mepidestantoquetedetulibertad..hasloquequieras,conquienquieras,dondequieras..eldiaquequierasirtepuedesirte..;lang1 lang1 lang2 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 other lang2 other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other  
Hoysintilavidanotieneigualcolor..Nuncamasvoyaencontrarsentimientoigualdelquemevolvereaenamorar..;lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 other lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
Quepasosientoquetodosetermino..dondeestaaquelamorquemedabas?aquellascariciasconquedespertabas?;lang1 lang2 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 other lang2 lang2 lang2 lang2 other lang1 lang1 lang1 other lang1 lang1 lang1 other  
Situtequieresmarcharyonotelovoyaimpedir..;lang1 lang1 lang1 lang1 lang1 1 lang1 lang2 lang1 lang2 lang1 lang2 lang1 1 lang1 lang2 lang1 ;lang1 lang1 lang1 other lang1 lang2 lang1 lang2 lang1 lang2 lang1 lang2 lang1 lang2 ne lang2  
YSiTeVuelvesAEnamorarcorazonnoquierovertellorarporquetuspenassonlasmiastambienynosoportariaunamas...;lang1 lang1 lang1 lang1 lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 other lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
Corazonnoseasasi..fijatedequienteenamoras!!!;lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 other lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
Lacuriosidadmatoalgato..peroaminiabalazosmealcanzan;);lang1 lang1 lang2 lang1 lang1 lang2 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 ;lang1 lang1 lang1 other lang2 lang2 other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other  
Cuidadetuvidaentucamino,yosiemprepedireadiosporti..PoreseCorazonquemediotanto,peroacabomiencantoyloperdiii..;1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang2 other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1  
@Lesambamandalepues...;lang1 lang1 lang2 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 other lang2 other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other  
Tantopasado,tantascaricias,tantosrecuerdosparasonar..eshistoriaquenadiepodraigualar..;lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 other lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
Laverdadesquetuyanoeresnadaparami...Vete!Noimportadonde...tansoloconquesealejosdemi..;other lang1 lang1 lang2 lang2 lang2 lang2 lang1 lang2 lang2 lang1 lang2 lang2 other lang1 lang1 lang1 ;other lang2 other lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 other lang1 lang2  
@Audreyy_torreslolentonces?xD;lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang2 lang1 1 lang2 lang2 lang1 lang1 lang1 lang1 ;lang1 lang1 other lang2 lang2 ne other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
@Audreyy_torrestevendolamia!;lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 other lang2 other lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other  
@elizaaaabethhh_teinvitocuandomepagen!^.^;lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 other lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 other  
Pormasbonitaqueestesesepincheosicoquetecargastehaceverfellisima...mecaekesi..;1 ne lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang1 lang1 ;other other lang1 lang1 lang1 lang1 lang1 ne lang1 ne lang1 lang1 other lang2 lang2 other  
@_shedopeeeeslareaccionnatural!Unonopiensaclaramentelascosasyhacelascosasenelmomentosinpensarenlasconsecuensias:/;lang1 lang1 lang1 lang1 lang2 lang2 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 other lang2 lang2 other lang1 lang1 lang1 lang1 other lang1 lang1 lang1 other  
BuenasNochesojalaytocetrabajarmañana!!!;lang1 lang2 lang1 lang1 lang1 lang2 lang1 1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 ;lang1 lang1 lang1 other lang2 lang2 lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
@sanluispotoyeesyeso(;?;lang1 lang1 lang1 lang2 lang2 lang1 1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 other other lang2 lang2 other lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
NacosamiladoooaquienlosTacos!!!borrensealvpa'yaaaa!!!Ewww;lang2 other ne lang2 lang2 other lang2 lang1 lang1 ne lang1 ne lang2 lang2 other lang2 lang1 ;other other ne lang2 lang2 other lang2 lang2 lang2 ne other ne lang2 lang2 other lang2  
@sanluispotoyeesakesiiixD;lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ;lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other  
@sanluispotoyeesdileskeledasunmasajeconunbalazoenlacabezapakyqnosientadolorjajajaja;other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 other lang1 lang1 lang1 lang2 other lang1 ;other lang1 other lang1 lang1 lang1 other lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other  
@sanluispotoyeespakahorrositengocasaspaescojer!Aytanunchingodepuentes;)jajajaahoratapateelosicootelotapo8===DO:;lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 ;other lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 other  
@sanluispotoyeesmirababosillaaatapameelquioteynomameslmfaoxD;lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang2 other lang1 lang1 lang1 lang1 lang1 other lang1 ;other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other  
@sanluispotoyeeseskemeardenmisojosxelmalditocedralquehayenelaire-.-;lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang2 other lang1 ;other lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other  
@Audreyy_torrescoshinaaaa;other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 ;other lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 other  
@aldoatardecerykseescucheesatamboraaaprimooo!!!;lang2 lang1 lang2 lang1 lang2 lang2 lang1 lang2 lang2 lang2 lang2 lang1 lang2 lang2 lang2 lang2 lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2  
Nadiepuedellorarleaesteviejoporquenadadejo,mevoycomovineee!!!;lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang2 lang1 lang2 lang2 lang2 lang2 lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2  
AlcavoQueNiQueriaaa...INDIAPERRAAA!!!!!;lang2 lang2 lang2 lang1 lang2 lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang1 ;lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other  
