id	tweetString	tweetWordArray	taggedLanguages
916	Ahhh pinche Pandora... la tenias k cagarrrrr... why the fuck would you put Luis Coronel's faggot ass in my Duranguense playlist... #LaCagan	Ahhh pinche Pandora ... la tenias k cagarrrrr ... why the fuck would you put Luis Coronel 's faggot ass in my Duranguense playlist ... #LaCagan 	lang2 lang2 ne other lang2 lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 ne ne lang1 lang1 lang1 lang1 lang1 lang2 lang1 other lang2 
917	Dime tu si quisieras andar conmigooo cuentame si quisieras andar conmigo shikititaaa;) pero dime pues!! Lol	Dime tu si quisieras andar conmigooo cuentame si quisieras andar conmigo shikititaaa ;) pero dime pues !! Lol 	lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 other lang1 
918	I Miss Aliados de La Sierra! I remember when @HersheyMusic played at Plaza R3 here in Austin a while whilee backkk!!! #BuenosTiempos #DGO	I Miss Aliados de La Sierra ! I remember when @HersheyMusic played at Plaza R3 here in Austin a while whilee backkk !!! #BuenosTiempos #DGO 	lang1 lang1 ne lang2 ne ne other lang1 lang1 lang1 other lang1 lang1 ne ne lang1 lang1 ne lang1 lang1 lang1 lang1 other lang2 lang1 
919	Only Duranguense groups that annoy the fuck outta me es ElTrono y K-Paz! Esos weyes son muy romanticos! parecen jotos igual k los players!	Only Duranguense groups that annoy the fuck outta me es ElTrono y K-Paz ! Esos weyes son muy romanticos ! parecen jotos igual k los players ! 	lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 ne lang2 ne other lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang1 other 
920	@brissamayen yes es la de Si Te Vuelves A Enamorar by Alacranes Musical:)	@brissamayen yes es la de Si Te Vuelves A Enamorar by Alacranes Musical :) 	other lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 ne lang1 ne lang2 other 
921	Las D @elguerooficial ahh shiet! esas son pa pistiar y chillar bien machin haha jk pero ese guero si k tiene maña pa poner a uno sentimental	Las D @elguerooficial ahh shiet ! esas son pa pistiar y chillar bien machin haha jk pero ese guero si k tiene maña pa poner a uno sentimental 	lang2 lang2 other lang1 lang1 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 
922	Ahhhhh ESA NOOOOOOO Cualquiera pero esa Nooooooo!!!	Ahhhhh ESA NOOOOOOO Cualquiera pero esa Nooooooo !!! 	other lang2 lang2 lang2 lang2 lang2 lang1 other 
923	I just had Home Made Tacos!!! Having a Mexican Mom Rocks!!! Especially cause she's from DGO! None of that SLP o HotDirt mx food! She unique!	I just had Home Made Tacos !!! Having a Mexican Mom Rocks !!! Especially cause she 's from DGO ! None of that SLP o HotDirt mx food ! She unique ! 	lang1 lang1 lang1 lang1 lang1 lang2 other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 ne other lang1 lang1 lang1 ne lang1 ne lang1 lang1 other lang1 lang1 other 
924	My Gf is a hoe ass nigga when it comes to feeling remorse for them poor little pollitos k los hicieron chicken McNuggets:( #Horrible	My Gf is a hoe ass nigga when it comes to feeling remorse for them poor little pollitos k los hicieron chicken McNuggets :( #Horrible 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang2 lang2 lang1 ne other ne 
925	Y si la vez dile que ya ni me acuerdo de ellaaaa... mannn I Miss Aliados De La Sierra...	Y si la vez dile que ya ni me acuerdo de ellaaaa ... mannn I Miss Aliados De La Sierra ... 	lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang1 lang1 lang2 ne ne ne ne other 
926	Increibleee... esa nooooooo :'''''((((( lol jk but still that song makes me wanna drink no se ni porke lol	Increibleee ... esa nooooooo : ''''' ((((( lol jk but still that song makes me wanna drink no se ni porke lol 	lang2 other lang2 lang2 other other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang2 lang2 lang1 
927	I swear esos tiempos fueron inolvidables! :)	I swear esos tiempos fueron inolvidables ! :) 	lang1 lang1 lang2 lang2 lang2 lang2 other other 
928	Back when I was worry free cada viernes ayi estabamos to2 los InkietosAbandonados! Ayi abajito dl escenario con DjLiz! Pistiando 2 her Mix's	Back when I was worry free cada viernes ayi estabamos to2 los InkietosAbandonados ! Ayi abajito dl escenario con DjLiz ! Pistiando 2 her Mix 's 	lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 ne other lang2 other lang1 lang1 lang1 
929	Estas rolas viejitas got me feelin some kinda way!!! Man I wish GranMexicano was still open w @djleslie_atx y DjPollo! Best years of my life	Estas rolas viejitas got me feelin some kinda way !!! Man I wish GranMexicano was still open w @djleslie_atx y DjPollo ! Best years of my life 	lang2 lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 ne lang1 lang1 lang1 lang1 other lang2 ne other lang1 lang1 lang1 lang1 lang1 
930	Dios te bendiga, buena suerte, k mas te puedo decir.. Ayyy Dolooorrrrr!!!! Como kisiera estar en mi rancho #Montez #Durango #Sunday #Perfect	Dios te bendiga , buena suerte , k mas te puedo decir .. Ayyy Dolooorrrrr !!!! Como kisiera estar en mi rancho #Montez #Durango #Sunday #Perfect 	lang2 lang2 lang2 other lang2 lang2 other lang2 lang2 lang2 lang2 lang2 other lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 ne ne lang1 lang1 
931	Watching #PBR I Miss watching this! I seriously want to go to a show this year when the Austin Rodeo comes to town:)	Watching #PBR I Miss watching this ! I seriously want to go to a show this year when the Austin Rodeo comes to town :) 	lang1 ne lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ne ne lang2 lang1 lang1 lang1 other 
932	You could've:(... pero mas fiel y romantico no aviaaa.. y en fin te sacaste la loteria;) lol jk...	You could 've:( ... pero mas fiel y romantico no aviaaa .. y en fin te sacaste la loteria ;) lol jk ... 	lang1 lang1 lang1 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang1 ambiguous other 
933	@aldoatardecer Feliz Cumpleaños Aldo! Que te la pases bien en este dia! BestWishes!	@aldoatardecer Feliz Cumpleaños Aldo ! Que te la pases bien en este dia ! BestWishes ! 	other lang2 lang2 ne other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang1 other 
934	@North_Eastt @Lopezaniaaa oy nomaaasssss si tu oyeee "fuuunnnn" lmao	@North_Eastt @Lopezaniaaa oy nomaaasssss si tu oyeee " fuuunnnn " lmao 	other other lang2 lang2 lang2 lang2 lang2 other lang1 other lang1 
935	Fawk it a dormir se a dicho k ay jale manana y el miercoles nos pagan;)	Fawk it a dormir se a dicho k ay jale manana y el miercoles nos pagan ;) 	lang1 lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other 
936	@Monimaravilla19 tas wacheando porn o.O ewww lol jj	@Monimaravilla19 tas wacheando porn o.O ewww lol jj 	other lang2 lang2 lang1 other lang1 lang1 other 
937	@sanluispotoyees ay nooo samiii k cruel eres ke crueeel (in ur mom's voice lmao)	@sanluispotoyees ay nooo samiii k cruel eres ke crueeel ( in ur mom 's voice lmao ) 	other lang2 lang2 ne lang2 lang2 lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 other 
938	@sanluispotoyees ay ke oso weee oseaaa no seas odiosaaaa relaxxx weeee hechate un esniker k no eres tu cuando tienes hambre jajajaja	@sanluispotoyees ay ke oso weee oseaaa no seas odiosaaaa relaxxx weeee hechate un esniker k no eres tu cuando tienes hambre jajajaja 	other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 
939	@sanluispotoyees nelll weee! puro pex tuyo mantaaa chaleees weee!! Te pasaaaass!!! Jejeje jk	@sanluispotoyees nelll weee ! puro pex tuyo mantaaa chaleees weee !! Te pasaaaass !!! Jejeje jk 	other lang1 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 other lang2 lang1 
940	@Lopezaniaaa DeNada! I may've graduated but I won't 4get about MyLittlePals:) especially u since u were the only 1 who did her work -.- lol	@Lopezaniaaa DeNada ! I may 've graduated but I wo n't 4get about MyLittlePals :) especially u since u were the only 1 who did her work -.- lol 	other lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 lang1 other lang1 
941	@sanluispotoyees eww can we do a re-do of this day my hair was just ewww lol no estaba fresh faded;)	@sanluispotoyees eww can we do a re-do of this day my hair was just ewww lol no estaba fresh faded ;) 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang1 lang1 other 
942	@elizaaaabethhh_ Okay Pues pero no se te valla a olvidar:)	@elizaaaabethhh_ Okay Pues pero no se te valla a olvidar :) 	other lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other 
943	@elizaaaabethhh_ yeahhhh^.^ pero no vallas a quedar mal ehhh:)	@elizaaaabethhh_ yeahhhh ^.^ pero no vallas a quedar mal ehhh :) 	other lang1 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 other 
944	@elizaaaabethhh_ no se you pick:)	@elizaaaabethhh_ no se you pick :) 	other lang1 lang2 lang1 lang1 other 
945	@Rangel_0894 like what?:) si es ke no es TopSecret lol	@Rangel_0894 like what ? :) si es ke no es TopSecret lol 	other lang1 lang1 other other lang2 lang2 lang2 lang2 lang2 lang1 lang1 
946	@brissamayen hahaha soy faniii lol jk	@brissamayen hahaha soy faniii lol jk 	other other lang2 ne lang1 lang2 
947	@brissamayen She woulda been like ke mokoza cabronaaa? cuando le diga a tu mama t va meter unas nalgadas pa k c t aplasten tus nalgas! Lmao	@brissamayen She woulda been like ke mokoza cabronaaa ? cuando le diga a tu mama t va meter unas nalgadas pa k c t aplasten tus nalgas ! Lmao 	other lang1 lang1 lang1 lang1 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang1 
948	@brissamayen lol I woulda been like 'buelaaa no me odies xk estoy mas nalgona k tu lmao jk	@brissamayen lol I woulda been like ' buelaaa no me odies xk estoy mas nalgona k tu lmao jk 	other lang1 lang1 lang1 lang1 lang1 other lang2 ambiguous lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang1 ambiguous 
949	@Monimaravilla19 ya lo probaste!? Where? :O	@Monimaravilla19 ya lo probaste !? Where ? :O 	other lang2 lang2 lang2 other lang1 other other 
950	I don't like Jenni Rivera but her song "Cuando Muere Una Dama" esta a toda madre! Qepd Saul Viera, Adan y Chalino Sanchez! Y Jenni tambien..	I do n't like Jenni Rivera but her song " Cuando Muere Una Dama " esta a toda madre ! Qepd Saul Viera , Adan y Chalino Sanchez ! Y Jenni tambien .. 	lang1 lang1 lang1 lang1 ne ne lang1 lang1 lang1 other lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 other lang2 ne ne other ne lang2 ne ne other lang2 ne lang2 other 
951	@North_Eastt @Rosie_Amanda @Audreyy_torres @Erika_Lizette28 @Ody_12 @Lopezaniaaa De Nada:) I know how much you kiddos enjoy time off lol	@North_Eastt @Rosie_Amanda @Audreyy_torres @Erika_Lizette28 @Ody_12 @Lopezaniaaa De Nada :) I know how much you kiddos enjoy time off lol 	other other other other other other lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 
952	Yo no fui MCM de nadie FML... mejor me voy a comer unos tacos pa quitarme lo awitado:( lol jk	Yo no fui MCM de nadie FML ... mejor me voy a comer unos tacos pa quitarme lo awitado :( lol jk 	lang2 lang2 lang2 other lang2 lang2 other other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang1 other 
953	@_shedopeee para una empresa de Auto Partes llevando deliveries a Talleres y Dealerships:)	@_shedopeee para una empresa de Auto Partes llevando deliveries a Talleres y Dealerships :) 	other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang2 lang2 lang2 lang1 other 
954	Voy a Llorar Por Ti just came on.. Thanks Pandora... Fucking Thanks! No no no I ain't trying to get up in my feelings STOP ITTTT!!!	Voy a Llorar Por Ti just came on .. Thanks Pandora ... Fucking Thanks ! No no no I ai n't trying to get up in my feelings STOP ITTTT !!! 	lang2 lang2 lang2 lang2 lang2 lang1 lang1 lang1 other lang1 ne other lang1 lang1 other lang1 ambiguous lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
955	A dormir se a dicho! 1st day of work mañana... we'll see how it goes tomorrow! I'm nervous!	A dormir se a dicho ! 1st day of work mañana ... we 'll see how it goes tomorrow ! I 'm nervous ! 	lang2 lang2 lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 lang1 lang1 other 
956	My Love is jealous cause I came to get Tacos w/o her! Muahahahahaha #OdiameMas #Tacos #Hungry	My Love is jealous cause I came to get Tacos w/o her ! Muahahahahaha #OdiameMas #Tacos #Hungry 	lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 other lang1 lang2 lang2 lang1 
957	@TexasHumor De Nada Compadre! Lol	@TexasHumor De Nada Compadre ! Lol 	other lang2 lang2 lang2 other lang1 
958	@sanluispotoyees what did I say o.O no me acuerdo lol	@sanluispotoyees what did I say o.O no me acuerdo lol 	other lang1 lang1 lang1 lang1 other lang2 lang2 lang2 ne 
959	@Rangel_0894 Felizidades! Wish yall a happy future:)	@Rangel_0894 Felizidades ! Wish yall a happy future :) 	other lang2 other lang1 lang1 lang1 lang1 lang1 other 
960	@EricaYolli hahaha yo voy de padrino de rizas lol jkjkjk	@EricaYolli hahaha yo voy de padrino de rizas lol jkjkjk 	other other lang2 lang2 lang2 lang2 lang2 lang2 lang1 other 
961	That latina lady on Wendy is ANNOYING!!! So Close Minded...	That latina lady on Wendy is ANNOYING !!! So Close Minded ... 	lang1 lang2 lang1 lang1 ne lang1 lang1 other lang1 lang1 lang1 other 
962	@EricaYolli Aver si no te hecho la sal lol oops! (;	@EricaYolli Aver si no te hecho la sal lol oops ! (; 	other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang1 other other 
963	@Erika_Lizette28 DeNada! Sleep In Kid:)	@Erika_Lizette28 DeNada ! Sleep In Kid :) 	other lang2 other lang1 lang1 lang1 other 
964	@EricaYolli taras preggooo lol jk	@EricaYolli taras preggooo lol jk 	other lang2 other other lang1 
965	@sanluispotoyees That's why the bottom of yo foot say "MADE IN CHINA" head assss	@sanluispotoyees That 's why the bottom of yo foot say " MADE IN CHINA " head assss 	other lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 other lang1 lang1 ne other lang1 lang1 
966	@sanluispotoyees no seas odiosa weyyyy pinche chafaaaa lmao osea wey vete al oceano y undeteee lol	@sanluispotoyees no seas odiosa weyyyy pinche chafaaaa lmao osea wey vete al oceano y undeteee lol 	other lang2 lang2 lang2 lang2 lang2 lang2 ne lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 
967	@sanluispotoyees NIGGA.. I'm The Realist Out'cheaaa D'oooo!!! You fakeee cause u be bs and then bien chill like nun FAKE FAKE FAKE SMH -.-	@sanluispotoyees NIGGA .. I 'm The Realist Out 'cheaaa D 'oooo!!! You fakeee cause u be bs and then bien chill like nun FAKE FAKE FAKE SMH -.- 	other lang1 other lang1 lang1 lang1 lang1 lang1 other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
968	Pues por ay esta el dicho que uno es como la gente que we asocia con... She NEED Jeeezasss lol cuz all that fake ain't good cahhh lol	Pues por ay esta el dicho que uno es como la gente que we asocia con ... She NEED Jeeezasss lol cuz all that fake ai n't good cahhh lol 	lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 
969	Ya se le pego lo fake... ewww fake fake fakeeee No Bueno... borrese pa'yaaaa	Ya se le pego lo fake ... ewww fake fake fakeeee No Bueno ... borrese pa 'yaaaa 	lang2 lang2 lang2 lang2 lang2 lang1 other other lang1 lang1 lang1 lang2 lang2 other lang2 lang2 lang2 
970	@Monimaravilla19 si como crees! imma get supahh swoh! Imma take'r 2 da beach imma rip off my shirt y on my chest it'll say Will U Marry Me?	@Monimaravilla19 si como crees ! imma get supahh swoh ! Imma take 'r 2 da beach imma rip off my shirt y on my chest it 'll say Will U Marry Me ? 	other lang2 lang2 lang2 other lang1 lang1 lang1 other other lang1 lang1 lang1 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
971	@Monimaravilla19 lol true pero nooo I gotta save up pa ese diaaaa!!!:)	@Monimaravilla19 lol true pero nooo I gotta save up pa ese diaaaa !!! :) 	other lang1 lang1 lang2 lang2 lang1 lang1 lang1 lang1 lang2 lang2 lang2 other other 
972	@Monimaravilla19 yes! But uuuuu pa k se pasen los 3 años lol nombreeee hahaha	@Monimaravilla19 yes ! But uuuuu pa k se pasen los 3 años lol nombreeee hahaha 	other lang1 other lang1 other lang2 lang2 lang2 lang2 lang2 other lang2 lang1 lang2 lang2 
973	@Monimaravilla19 plus I was lookin fuglyyy uh uhh bubu lmao si le voy a pedir k c case conmigo best believe imma b lookin FLY like a mf! Lol	@Monimaravilla19 plus I was lookin fuglyyy uh uhh bubu lmao si le voy a pedir k c case conmigo best believe imma b lookin FLY like a mf ! Lol 	other lang1 lang1 lang1 lang1 lang1 lang1 other other lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang1 
974	@Monimaravilla19 ni preguntaron x anillo o x pic d onde estoy de rodilla ni nada xD but lol cuando sea forreal sera like 3 years from now^.^	@Monimaravilla19 ni preguntaron x anillo o x pic d onde estoy de rodilla ni nada xD but lol cuando sea forreal sera like 3 years from now ^.^ 	other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang1 lang1 lang2 lang2 lang1 lang2 lang1 other lang1 lang1 lang1 other 
975	@Monimaravilla19 but it really was our anniversary ayer tho Hahahahaha	@Monimaravilla19 but it really was our anniversary ayer tho Hahahahaha 	other lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang1 lang1 
976	@Monimaravilla19 jaja No Te Creas! We just thought it'd be funny to make ppl think we were getting married ya k todo creen x internet lmfao	@Monimaravilla19 jaja No Te Creas ! We just thought it 'd be funny to make ppl think we were getting married ya k todo creen x internet lmfao 	other lang2 lang2 lang2 lang2 other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 ambiguous lang2 lang2 lang2 lang2 lang1 
977	@sanluispotoyees pero ya mas en la noche like at 8 or 9	@sanluispotoyees pero ya mas en la noche like at 8 or 9 	other lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang1 other lang1 other 
978	@Audreyy_torres aquesiii but you take ages to reply now-.-	@Audreyy_torres aquesiii but you take ages to reply now -.- 	other lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other 
979	@sanluispotoyees ntc baeee vamos al gym mejor:)	@sanluispotoyees ntc baeee vamos al gym mejor :) 	other lang2 other lang2 lang2 lang1 lang2 other 
980	@sanluispotoyees Puñales lol	@sanluispotoyees Puñales lol 	other lang2 lang1 
981	@Audreyy_torres Love you too presumida:)	@Audreyy_torres Love you too presumida :) 	other lang1 lang1 lang1 lang2 other 
982	@sanluispotoyees a k hora sales?	@sanluispotoyees a k hora sales ? 	other lang2 lang2 lang2 lang1 other 
983	@Audreyy_torres Exactly! You love me niggaaa so no diga k no lol	@Audreyy_torres Exactly ! You love me niggaaa so no diga k no lol 	other lang1 other lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang2 lang2 lang1 
984	@Monimaravilla19 MY NIGGAAAAA! RIP to Aristeo Lopez whom died of laughter watching this video lmfao xD Muerto!	@Monimaravilla19 MY NIGGAAAAA ! RIP to Aristeo Lopez whom died of laughter watching this video lmfao xD Muerto ! 	other lang1 lang1 other lang1 lang1 ne ne lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 other lang2 other 
985	Cuando viejas me dicen que estoy guapo me hago del rogar pa ver si es al chile o puro pedo porke algo kieren lol #ViejasPutas #Interesadas	Cuando viejas me dicen que estoy guapo me hago del rogar pa ver si es al chile o puro pedo porke algo kieren lol #ViejasPutas #Interesadas 	lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang2 lang2 
986	@sanluispotoyees quieres mi cockmeat sandwich? Lmfao di please otra vez hahahaha andaleee hahaha	@sanluispotoyees quieres mi cockmeat sandwich ? Lmfao di please otra vez hahahaha andaleee hahaha 	other lang2 lang2 lang1 lang1 other lang1 lang2 lang1 lang2 lang2 ambiguous lang2 lang1 
987	@Audreyy_torres lol my parents love leaving me at home xk me traigo media tienda lol	@Audreyy_torres lol my parents love leaving me at home xk me traigo media tienda lol 	other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang2 lang2 lang2 lang1 
988	@sanluispotoyees lmfao Pendejaaaaa jajaja tas bien cresta guacha jija de tu maaa lol that's why ur failing english lee bien bae jajajaja	@sanluispotoyees lmfao Pendejaaaaa jajaja tas bien cresta guacha jija de tu maaa lol that 's why ur failing english lee bien bae jajajaja 	other lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang2 other 
989	@sanluispotoyees te llevo un Cockmeat Sandwich si quieres lololol	@sanluispotoyees te llevo un Cockmeat Sandwich si quieres lololol 	other lang2 lang2 lang2 ne lang1 lang2 lang2 other 
990	@Audreyy_torres wait till your 18th bday y t llevo a Xtc lol	@Audreyy_torres wait till your 18th bday y t llevo a Xtc lol 	other lang1 lang1 lang1 other lang1 lang2 lang2 lang2 lang2 ne lang1 
991	@RENEDEALACRANES Chingon!!! Long Overdue! Ay pa Dominguear agusto con sus rancheras!!!	@RENEDEALACRANES Chingon !!! Long Overdue ! Ay pa Dominguear agusto con sus rancheras !!! 	other lang2 other lang1 lang1 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 other 
992	Lol no me gusta que me anden cuidando! Ni k fuera chamakito d Kinder! -.-	Lol no me gusta que me anden cuidando ! Ni k fuera chamakito d Kinder ! -.- 	lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang1 other other 
993	Me quiere colgar pa ver k estoy twiteando!!! Pinche vieja chismosa me caeeee!!! Lol	Me quiere colgar pa ver k estoy twiteando !!! Pinche vieja chismosa me caeeee !!! Lol 	lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 other lang1 
994	@_shedopeee CAN I GET A AMEN!!!!!!! LIKE DAMNNN MF HALLELUJAH!!!! Ese Guache David se la rifo #Shocked #ItsReal #TeAplaudo #Keeper	@_shedopeee CAN I GET A AMEN !!!!!!! LIKE DAMNNN MF HALLELUJAH !!!! Ese Guache David se la rifo #Shocked #ItsReal #TeAplaudo #Keeper 	other lang1 lang1 lang1 lang1 lang1 other lang1 lang1 ambiguous lang1 other lang2 ne ne lang2 lang2 lang2 lang1 lang1 lang2 lang1 
995	@elizaaaabethhh_ me toooo:) llevameee lol	@elizaaaabethhh_ me toooo :) llevameee lol 	other lang1 lang1 other lang2 lang1 
996	@brissamayen @sanluispotoyees ya vez baee ya la asustasteee lol	@brissamayen @sanluispotoyees ya vez baee ya la asustasteee lol 	other other lang2 lang2 other lang2 lang2 lang2 lang1 
997	@brissamayen @sanluispotoyees yo manchar? No yo no! manchas las k trae la vaca Lol	@brissamayen @sanluispotoyees yo manchar ? No yo no ! manchas las k trae la vaca Lol 	other other lang2 lang2 other lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang1 
998	@sanluispotoyees @brissamayen like y esta werka ke kiereeee yo ya no les voy a dar leche eeee!!! Ya estoy muy viejaaa muuuuuu lmao jk	@sanluispotoyees @brissamayen like y esta werka ke kiereeee yo ya no les voy a dar leche eeee !!! Ya estoy muy viejaaa muuuuuu lmao jk 	other other lang1 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 ambiguous other lang2 lang2 lang2 lang2 ambiguous lang1 other 
999	@sanluispotoyees @brissamayen va estar acariciando a la vaca diciendole K la ama y she's so glad she has a friend like her y la cow va estar	@sanluispotoyees @brissamayen va estar acariciando a la vaca diciendole K la ama y she 's so glad she has a friend like her y la cow va estar 	other other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang2 ambiguous lang2 lang2 
1000	@IsaacCali96 @brissamayen @sanluispotoyees shit yall better put up yalls money cause my ass Graduated last year a mi no me toca!	@IsaacCali96 @brissamayen @sanluispotoyees shit yall better put up yalls money cause my ass Graduated last year a mi no me toca ! 	other other other lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang2 lang2 lang2 lang2 lang2 other 
1001	@brissamayen @sanluispotoyees oy nomas we go'n find brissa laid out ontop of a cow and shit all drunk lmfao jk	@brissamayen @sanluispotoyees oy nomas we go 'n find brissa laid out ontop of a cow and shit all drunk lmfao jk 	other other lang2 lang2 lang1 lang1 lang1 lang1 ne lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 lang1 ne 
1002	@IsaacCali96 @brissamayen @sanluispotoyees lol.. I'm calm, yo nomas t estoy diciendo como corre el agua. si no t aguantas no le entres! Y ya	@IsaacCali96 @brissamayen @sanluispotoyees lol .. I 'm calm , yo nomas t estoy diciendo como corre el agua . si no t aguantas no le entres ! Y ya 	other other other lang1 other lang1 lang1 lang1 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 other lang2 lang2 
1003	@brissamayen @sanluispotoyees y maybe en vez de salon, en un rancho al aire libre pa que la musica se la lleve el viento:)	@brissamayen @sanluispotoyees y maybe en vez de salon , en un rancho al aire libre pa que la musica se la lleve el viento :) 	other other lang2 lang1 lang2 lang2 lang2 lang2 other lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 lang2 other 
